"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-17;1888,5;1888,5;1888,5;1888,5;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-18;1859,77;1859,77;1859,77;1859,77;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-19;1861,31;1861,31;1861,31;1861,31;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-22;1831,27;1831,27;1831,27;1831,27;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-23;1859,18;1859,18;1859,18;1859,18;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-24;1851,63;1851,63;1851,63;1851,63;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-25;1877,3;1877,3;1877,3;1877,3;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-26;1916,12;1916,12;1916,12;1916,12;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-29;1934,23;1934,23;1934,23;1934,23;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-30;1917,32;1917,32;1917,32;1917,32;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-31;1937,05;1937,05;1937,05;1937,05;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-01;1928,54;1928,54;1928,54;1928,54;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-02;1941,89;1941,89;1941,89;1941,89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-06;1971,05;1971,05;1971,05;1971,05;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-07;1966,83;1966,83;1966,83;1966,83;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-08;1981,03;1981,03;1981,03;1981,03;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-09;1954,14;1954,14;1954,14;1954,14;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-12;1952,84;1952,84;1952,84;1952,84;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-13;1930,74;1930,74;1930,74;1930,74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-14;1940,43;1940,43;1940,43;1940,43;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-15;1917,68;1917,68;1917,68;1917,68;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-16;1894,23;1894,23;1894,23;1894,23;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-19;1865,87;1865,87;1865,87;1865,87;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-20;1876,37;1876,37;1876,37;1876,37;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-21;1844,74;1844,74;1844,74;1844,74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-22;1835,91;1835,91;1835,91;1835,91;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-23;1852,64;1852,64;1852,64;1852,64;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-26;1877,25;1877,25;1877,25;1877,25;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-27;1851,46;1851,46;1851,46;1851,46;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-28;1873,37;1873,37;1873,37;1873,37;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-29;1884,15;1884,15;1884,15;1884,15;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-11-30;1913,14;1913,14;1913,14;1913,14;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-03;1900,88;1900,88;1900,88;1900,88;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-04;1896,7;1896,7;1896,7;1896,7;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-05;1959,4;1959,4;1959,4;1959,4;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-06;1955,03;1955,03;1955,03;1955,03;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-07;1978;1978;1978;1978;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-10;2011,24;2011,24;2011,24;2011,24;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-11;2017,28;2017,28;2017,28;2017,28;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-12;2036,44;2036,44;2036,44;2036,44;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-13;1994,14;1994,14;1994,14;1994,14;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-14;1959,26;1959,26;1959,26;1959,26;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-17;1951,53;1951,53;1951,53;1951,53;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-18;1973,27;1973,27;1973,27;1973,27;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-19;1963,74;1963,74;1963,74;1963,74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-20;1991,69;1991,69;1991,69;1991,69;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-21;1996,6;1996,6;1996,6;1996,6;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-24;1994,65;1994,65;1994,65;1994,65;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-25;1983,73;1983,73;1983,73;1983,73;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-26;1968,76;1968,76;1968,76;1968,76;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-27;1971,98;1971,98;1971,98;1971,98;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-12-28;1952,83;1952,83;1952,83;1952,83;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-09;1980,38;1980,38;1980,38;1980,38;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-10;1986,31;1986,31;1986,31;1986,31;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-11;1988,58;1988,58;1988,58;1988,58;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-14;2005,89;2005,89;2005,89;2005,89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-15;1995,75;1995,75;1995,75;1995,75;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-16;1910,22;1910,22;1910,22;1910,22;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-17;1875,3;1875,3;1875,3;1875,3;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-18;1857,56;1857,56;1857,56;1857,56;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-21;1718,88;1718,88;1718,88;1718,88;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-22;1700,14;1700,14;1700,14;1700,14;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-23;1631,7;1631,7;1631,7;1631,7;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-24;1726,32;1726,32;1726,32;1726,32;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-25;1771,2;1771,2;1771,2;1771,2;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-28;1698,63;1698,63;1698,63;1698,63;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-29;1743,39;1743,39;1743,39;1743,39;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-30;1706,21;1706,21;1706,21;1706,21;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-01-31;1635,27;1635,27;1635,27;1635,27;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-01;1703,99;1703,99;1703,99;1703,99;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-04;1742,72;1742,72;1742,72;1742,72;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-05;1695,55;1695,55;1695,55;1695,55;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-06;1694,23;1694,23;1694,23;1694,23;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-07;1643,19;1643,19;1643,19;1643,19;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-08;1629,61;1629,61;1629,61;1629,61;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-11;1667,23;1667,23;1667,23;1667,23;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-12;1729,93;1729,93;1729,93;1729,93;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-13;1753,65;1753,65;1753,65;1753,65;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-14;1753,23;1753,23;1753,23;1753,23;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-15;1719,38;1719,38;1719,38;1719,38;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-18;1757,89;1757,89;1757,89;1757,89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-19;1772,76;1772,76;1772,76;1772,76;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-20;1748,83;1748,83;1748,83;1748,83;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-21;1789,96;1789,96;1789,96;1789,96;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-22;1787,97;1787,97;1787,97;1787,97;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-26;1793,08;1793,08;1793,08;1793,08;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-27;1777,38;1777,38;1777,38;1777,38;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-28;1755,32;1755,32;1755,32;1755,32;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-02-29;1725,11;1725,11;1725,11;1725,11;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-03;1707,33;1707,33;1707,33;1707,33;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-04;1699,94;1699,94;1699,94;1699,94;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-05;1720,16;1720,16;1720,16;1720,16;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-06;1716,37;1716,37;1716,37;1716,37;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-07;1682,38;1682,38;1682,38;1682,38;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-11;1739,7;1739,7;1739,7;1739,7;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-12;1742,76;1742,76;1742,76;1742,76;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-13;1711,7;1711,7;1711,7;1711,7;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-14;1716,26;1716,26;1716,26;1716,26;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-17;1643,65;1643,65;1643,65;1643,65;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-18;1670,48;1670,48;1670,48;1670,48;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-19;1664,95;1664,95;1664,95;1664,95;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-20;1630,31;1630,31;1630,31;1630,31;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-21;1637,88;1637,88;1637,88;1637,88;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-24;1686,59;1686,59;1686,59;1686,59;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-25;1656,12;1656,12;1656,12;1656,12;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-26;1655,82;1655,82;1655,82;1655,82;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-27;1681,67;1681,67;1681,67;1681,67;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-28;1691,29;1691,29;1691,29;1691,29;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-03-31;1691,87;1691,87;1691,87;1691,87;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-01;1704,67;1704,67;1704,67;1704,67;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-02;1717,25;1717,25;1717,25;1717,25;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-03;1694,75;1694,75;1694,75;1694,75;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-04;1698,74;1698,74;1698,74;1698,74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-07;1738,99;1738,99;1738,99;1738,99;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-08;1720,09;1720,09;1720,09;1720,09;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-09;1747,05;1747,05;1747,05;1747,05;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-10;1750,19;1750,19;1750,19;1750,19;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-11;1713,24;1713,24;1713,24;1713,24;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-14;1702,11;1702,11;1702,11;1702,11;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-15;1725,73;1725,73;1725,73;1725,73;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-16;1756,45;1756,45;1756,45;1756,45;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-17;1737,92;1737,92;1737,92;1737,92;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-18;1773,12;1773,12;1773,12;1773,12;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-21;1752,6;1752,6;1752,6;1752,6;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-22;1746,45;1746,45;1746,45;1746,45;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-23;1738,79;1738,79;1738,79;1738,79;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-24;1710,9;1710,9;1710,9;1710,9;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-25;1733,87;1733,87;1733,87;1733,87;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-28;1740,61;1740,61;1740,61;1740,61;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-29;1733,27;1733,27;1733,27;1733,27;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-04-30;1732,3;1732,3;1732,3;1732,3;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-04;1760,38;1760,38;1760,38;1760,38;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-05;1754,08;1754,08;1754,08;1754,08;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-06;1760,45;1760,45;1760,45;1760,45;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-07;1807,02;1807,02;1807,02;1807,02;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-08;1865,62;1865,62;1865,62;1865,62;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-12;1892,98;1892,98;1892,98;1892,98;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-13;1911,45;1911,45;1911,45;1911,45;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-14;1978,38;1978,38;1978,38;1978,38;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-15;1969,78;1969,78;1969,78;1969,78;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-16;2020,27;2020,27;2020,27;2020,27;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-19;2033,01;2033,01;2033,01;2033,01;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-20;2006,63;2006,63;2006,63;2006,63;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-21;2029,58;2029,58;2029,58;2029,58;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-22;1969,31;1969,31;1969,31;1969,31;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-23;1984,71;1984,71;1984,71;1984,71;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-26;1969,37;1969,37;1969,37;1969,37;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-27;1929,78;1929,78;1929,78;1929,78;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-28;1944,78;1944,78;1944,78;1944,78;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-29;1983,34;1983,34;1983,34;1983,34;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-05-30;2000,9;2000,9;2000,9;2000,9;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-06-02;1991,13;1991,13;1991,13;1991,13;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-06-03;1975,8;1975,8;1975,8;1975,8;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-06-04;1915,18;1915,18;1915,18;1915,18;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-06-05;1915,4;1915,4;1915,4;1915,4;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-06-06;1925,19;1925,19;1925,19;1925,19;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2008-06-07;1883,82;1883,82;1883,82;1883,82;0;;
